Month,Weekday,Hour,Factor
8,2,23,0.936349
8,3,0,0.903482
8,3,1,0.877825
8,3,2,0.860472
8,3,3,0.856668
8,3,4,0.856668
8,3,5,0.906241
8,3,6,0.983376
8,3,7,1.04974
8,3,8,1.08673
8,3,9,1.07753
8,3,10,1.08586
8,3,11,1.08304
8,3,12,1.06161
8,3,13,1.05114
8,3,14,1.046
8,3,15,1.03666
8,3,16,1.02894
8,3,17,1.04684
8,3,18,1.05563
8,3,19,1.05245
8,3,20,1.03566
8,3,21,1.01834
8,3,22,0.987636
8,3,23,0.936829
8,4,0,0.89934
8,4,1,0.879408
8,4,2,0.86263
8,4,3,0.854021
8,4,4,0.864366
8,4,5,0.905673
8,4,6,0.985003
8,4,7,1.03699
8,4,8,1.07409
8,4,9,1.07567
8,4,10,1.08017
8,4,11,1.07612
8,4,12,1.0616
8,4,13,1.06023
